iter	Passed	Remaining
838	48875	9378
839	48933	9320
840	48989	9262
841	49042	9202
842	49102	9144
843	49161	9086
844	49218	9028
845	49276	8970
846	49325	8909
847	49380	8851
848	49439	8793
849	49495	8734
850	49556	8676
851	49619	8619
852	49678	8561
853	49744	8504
854	49804	8446
855	49864	8388
856	49932	8331
857	49989	8273
858	50046	8214
859	50106	8156
860	50161	8098
861	50220	8039
862	50278	7981
863	50337	7923
864	50397	7865
865	50447	7805
866	50507	7748
867	50568	7690
868	50640	7633
869	50697	7575
870	50763	7518
871	50818	7459
872	50878	7401
873	50935	7343
874	50980	7282
875	51033	7223
876	51082	7164
877	51149	7107
878	51216	7050
879	51271	6991
880	51324	6932
881	51372	6872
882	51418	6813
883	51480	6755
884	51549	6698
885	51599	6639
886	51647	6579
887	51704	6521
888	51757	6462
889	51810	6403
890	51861	6344
891	51909	6285
892	51966	6226
893	52028	6168
894	52074	6109
895	52119	6049
896	52165	5989
897	52219	5931
898	52279	5873
899	52333	5814
900	52399	5757
901	52460	5699
902	52525	5642
903	52579	5583
904	52637	5525
905	52693	5467
906	52740	5407
907	52793	5349
908	52848	5290
909	52901	5232
910	52961	5174
911	53034	5117
912	53091	5059
913	53151	5001
914	53204	4942
915	53257	4883
916	53328	4826
917	53383	4768
918	53442	4710
919	53504	4652
920	53562	4594
921	53617	4535
922	53696	4479
923	53757	4421
924	53815	4363
925	53871	4305
926	53939	4247
927	53997	4189
928	54056	4131
929	54115	4073
930	54174	4015
931	54232	3956
932	54309	3900
933	54375	3842
934	54441	3784
935	54502	3726
936	54556	3668
937	54615	3609
938	54671	3551
939	54722	3492
940	54781	3434
941	54840	3376
942	54903	3318
943	54967	3260
944	55016	3202
945	55077	3143
946	55135	3085
947	55200	3027
948	55254	2969
949	55318	2911
950	55375	2853
951	55438	2795
952	55498	2737
953	55555	2678
954	55617	2620
955	55680	2562
956	55741	2504
957	55796	2446
958	55849	2387
959	55912	2329
960	55976	2271
961	56030	2213
962	56092	2155
963	56154	2097
964	56212	2038
965	56277	1980
966	56337	1922
967	56395	1864
968	56451	1805
969	56511	1747
970	56569	1689
971	56627	1631
972	56685	1572
973	56743	1514
974	56797	1456
975	56855	1398
976	56914	1339
977	56972	1281
978	57040	1223
979	57096	1165
980	57157	1107
981	57211	1048
982	57264	990
983	57319	932
984	57376	873
985	57430	815
986	57483	757
987	57543	698
988	57597	640
989	57658	582
990	57718	524
991	57773	465
992	57823	407
993	57881	349
994	57947	291
995	58009	232
996	58065	174
997	58127	116
998	58180	58
999	58242	0
